label,payload,severity,role,purpose,ip
0,GET /api/banking/dashboard,0.0,CUSTOMER,login,192.168.4.73
0,GET /api/market/overview,0.0,CUSTOMER,market,192.168.26.188
0,POST /api/auth/login,0.0,MANAGER,dashboard,192.168.33.121
0,GET /api/banking/dashboard,0.0,CUSTOMER,login,192.168.19.200
0,GET /api/banking/dashboard,0.0,ACCOUNTANT,login,192.168.14.125
0,GET /api/banking/dashboard,0.0,CUSTOMER,market,192.168.15.96
0,GET /api/banking/dashboard,0.0,MANAGER,login,192.168.11.21
0,POST /api/banking/deposit,0.0,CUSTOMER,login,192.168.29.38
0,POST /api/auth/login,0.0,MANAGER,dashboard,192.168.50.155
0,GET /api/market/overview,0.0,ACCOUNTANT,login,192.168.27.15
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.21.110
0,GET /api/banking/dashboard,0.0,MANAGER,login,192.168.22.184
0,POST /api/banking/deposit,0.0,MANAGER,deposit,192.168.23.236
0,GET /api/banking/dashboard,0.0,ACCOUNTANT,deposit,192.168.42.222
0,GET /api/market/overview,0.0,CUSTOMER,dashboard,192.168.39.53
0,POST /api/auth/login,0.0,MANAGER,market,192.168.38.39
0,GET /api/banking/dashboard,0.0,MANAGER,login,192.168.39.159
0,POST /api/auth/login,0.0,ACCOUNTANT,dashboard,192.168.36.32
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.36.122
0,POST /api/auth/login,0.0,MANAGER,dashboard,192.168.14.204
0,POST /api/auth/login,0.0,CUSTOMER,dashboard,192.168.43.196
0,POST /api/auth/login,0.0,ACCOUNTANT,dashboard,192.168.5.194
0,GET /api/banking/dashboard,0.0,MANAGER,dashboard,192.168.11.145
0,POST /api/banking/deposit,0.0,MANAGER,deposit,192.168.18.191
0,GET /api/banking/dashboard,0.0,MANAGER,dashboard,192.168.44.227
0,GET /api/market/overview,0.0,ACCOUNTANT,dashboard,192.168.27.110
0,POST /api/banking/deposit,0.0,ACCOUNTANT,market,192.168.32.239
0,POST /api/banking/deposit,0.0,MANAGER,dashboard,192.168.5.164
0,POST /api/auth/login,0.0,CUSTOMER,login,192.168.19.208
0,GET /api/banking/dashboard,0.0,ACCOUNTANT,deposit,192.168.46.116
0,POST /api/auth/login,0.0,MANAGER,deposit,192.168.38.91
0,GET /api/market/overview,0.0,ACCOUNTANT,market,192.168.20.224
0,POST /api/auth/login,0.0,ACCOUNTANT,market,192.168.31.133
0,GET /api/banking/dashboard,0.0,ACCOUNTANT,deposit,192.168.11.94
0,GET /api/market/overview,0.0,CUSTOMER,dashboard,192.168.29.168
0,POST /api/auth/login,0.0,CUSTOMER,login,192.168.31.209
0,POST /api/auth/login,0.0,CUSTOMER,deposit,192.168.10.48
0,POST /api/auth/login,0.0,MANAGER,login,192.168.43.154
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.10.5
0,GET /api/market/overview,0.0,ACCOUNTANT,login,192.168.15.237
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.1.54
0,GET /api/market/overview,0.0,MANAGER,deposit,192.168.23.207
0,POST /api/banking/deposit,0.0,CUSTOMER,dashboard,192.168.32.49
0,POST /api/auth/login,0.0,ACCOUNTANT,market,192.168.1.128
0,GET /api/market/overview,0.0,CUSTOMER,market,192.168.26.10
0,POST /api/auth/login,0.0,ACCOUNTANT,login,192.168.33.126
0,POST /api/banking/deposit,0.0,CUSTOMER,market,192.168.40.124
0,POST /api/banking/deposit,0.0,CUSTOMER,dashboard,192.168.10.36
0,POST /api/auth/login,0.0,ACCOUNTANT,market,192.168.4.86
0,GET /api/banking/dashboard,0.0,CUSTOMER,market,192.168.9.200
0,GET /api/banking/dashboard,0.0,MANAGER,dashboard,192.168.41.176
0,POST /api/auth/login,0.0,ACCOUNTANT,dashboard,192.168.46.43
0,GET /api/market/overview,0.0,CUSTOMER,deposit,192.168.16.235
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.3.93
0,GET /api/market/overview,0.0,CUSTOMER,market,192.168.26.222
0,GET /api/banking/dashboard,0.0,MANAGER,deposit,192.168.2.19
0,POST /api/banking/deposit,0.0,MANAGER,deposit,192.168.28.212
