label,payload,severity,role,purpose,ip
0,username=client&password=demo-pass,0.0,ACCOUNTANT,login,192.168.4.24
0,username=client&password=demo-pass,0.0,ACCOUNTANT,verify_otp,192.168.10.212
0,otp=123456,0.0,ACCOUNTANT,login,192.168.35.249
0,username=manager&password=demo-pass,0.0,MANAGER,login,192.168.1.80
0,username=client&password=demo-pass,0.0,MANAGER,login,192.168.30.227
0,username=client&password=demo-pass,0.0,CUSTOMER,verify_otp,192.168.3.122
0,token=Bearer xyz123,0.0,ACCOUNTANT,verify_otp,192.168.16.99
0,otp=123456,0.0,ACCOUNTANT,refresh_token,192.168.35.137
0,username=manager&password=demo-pass,0.0,ACCOUNTANT,verify_otp,192.168.23.233
0,username=client&password=demo-pass,0.0,MANAGER,login,192.168.26.77
0,token=Bearer xyz123,0.0,CUSTOMER,refresh_token,192.168.18.173
0,username=client&password=demo-pass,0.0,CUSTOMER,verify_otp,192.168.13.193
0,otp=123456,0.0,ACCOUNTANT,verify_otp,192.168.50.159
0,username=client&password=demo-pass,0.0,CUSTOMER,refresh_token,192.168.50.173
0,otp=123456,0.0,ACCOUNTANT,verify_otp,192.168.33.183
0,token=Bearer xyz123,0.0,ACCOUNTANT,verify_otp,192.168.44.195
0,username=manager&password=demo-pass,0.0,MANAGER,verify_otp,192.168.1.37
0,username=client&password=demo-pass,0.0,MANAGER,refresh_token,192.168.48.213
0,username=manager&password=demo-pass,0.0,MANAGER,verify_otp,192.168.17.146
0,username=client&password=demo-pass,0.0,CUSTOMER,verify_otp,192.168.45.1
0,username=manager&password=demo-pass,0.0,CUSTOMER,verify_otp,192.168.17.188
0,otp=123456,0.0,ACCOUNTANT,login,192.168.27.77
0,otp=123456,0.0,MANAGER,verify_otp,192.168.3.222
0,token=Bearer xyz123,0.0,MANAGER,login,192.168.5.179
0,otp=123456,0.0,MANAGER,refresh_token,192.168.49.96
0,token=Bearer xyz123,0.0,CUSTOMER,refresh_token,192.168.37.150
0,username=client&password=demo-pass,0.0,ACCOUNTANT,refresh_token,192.168.34.31
0,otp=123456,0.0,CUSTOMER,login,192.168.14.108
0,username=client&password=demo-pass,0.0,ACCOUNTANT,refresh_token,192.168.10.135
0,otp=123456,0.0,MANAGER,verify_otp,192.168.30.164
0,token=Bearer xyz123,0.0,ACCOUNTANT,login,192.168.22.193
0,otp=123456,0.0,MANAGER,login,192.168.25.65
0,token=Bearer xyz123,0.0,CUSTOMER,refresh_token,192.168.33.124
0,otp=123456,0.0,ACCOUNTANT,refresh_token,192.168.40.223
0,token=Bearer xyz123,0.0,CUSTOMER,refresh_token,192.168.26.246
0,otp=123456,0.0,CUSTOMER,refresh_token,192.168.45.81
0,username=client&password=demo-pass,0.0,ACCOUNTANT,verify_otp,192.168.45.61
0,username=manager&password=demo-pass,0.0,ACCOUNTANT,refresh_token,192.168.49.135
0,otp=123456,0.0,ACCOUNTANT,login,192.168.2.100
0,token=Bearer xyz123,0.0,MANAGER,refresh_token,192.168.42.14
0,otp=123456,0.0,ACCOUNTANT,login,192.168.6.76
0,otp=123456,0.0,CUSTOMER,verify_otp,192.168.24.14
0,username=client&password=demo-pass,0.0,MANAGER,login,192.168.30.142
0,otp=123456,0.0,CUSTOMER,verify_otp,192.168.25.55
0,username=client&password=demo-pass,0.0,ACCOUNTANT,verify_otp,192.168.22.1
0,otp=123456,0.0,MANAGER,refresh_token,192.168.23.81
