label,payload,severity,role,purpose,ip
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,transfer,192.168.9.96
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.21.108
0,Withdraw 500,0.0,CUSTOMER,transfer,192.168.7.104
0,Pay electricity bill 1200,0.0,CUSTOMER,billpay,192.168.41.32
0,Withdraw 500,0.0,CUSTOMER,withdraw,192.168.8.244
0,Withdraw 500,0.0,ACCOUNTANT,billpay,192.168.2.228
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,transfer,192.168.37.90
0,Check balance,0.0,ACCOUNTANT,billpay,192.168.32.30
0,Deposit 10000,0.0,CUSTOMER,billpay,192.168.32.120
0,Pay electricity bill 1200,0.0,ACCOUNTANT,transfer,192.168.50.69
0,Deposit 10000,0.0,ACCOUNTANT,transfer,192.168.29.92
0,Check balance,0.0,CUSTOMER,withdraw,192.168.35.159
0,Check balance,0.0,ACCOUNTANT,transfer,192.168.22.137
0,Deposit 10000,0.0,ACCOUNTANT,billpay,192.168.32.39
0,Withdraw 500,0.0,ACCOUNTANT,billpay,192.168.50.226
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,withdraw,192.168.41.76
0,Deposit 10000,0.0,CUSTOMER,transfer,192.168.30.198
0,Pay electricity bill 1200,0.0,CUSTOMER,billpay,192.168.50.245
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,withdraw,192.168.46.162
0,Withdraw 500,0.0,ACCOUNTANT,transfer,192.168.43.152
0,Withdraw 500,0.0,CUSTOMER,withdraw,192.168.20.45
0,Deposit 10000,0.0,ACCOUNTANT,transfer,192.168.27.32
0,Pay electricity bill 1200,0.0,CUSTOMER,billpay,192.168.40.169
0,Withdraw 500,0.0,CUSTOMER,withdraw,192.168.20.23
0,Transfer 5000 to Rohan,0.0,CUSTOMER,transfer,192.168.22.167
0,Transfer 5000 to Rohan,0.0,CUSTOMER,billpay,192.168.40.136
0,Pay electricity bill 1200,0.0,CUSTOMER,withdraw,192.168.34.123
0,Transfer 5000 to Rohan,0.0,CUSTOMER,withdraw,192.168.48.7
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.8.169
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.17.145
0,Withdraw 500,0.0,ACCOUNTANT,transfer,192.168.40.228
0,Transfer 5000 to Rohan,0.0,CUSTOMER,transfer,192.168.24.32
0,Deposit 10000,0.0,CUSTOMER,withdraw,192.168.4.119
0,Withdraw 500,0.0,ACCOUNTANT,transfer,192.168.44.61
0,Transfer 5000 to Rohan,0.0,CUSTOMER,billpay,192.168.8.88
0,Withdraw 500,0.0,ACCOUNTANT,billpay,192.168.30.137
0,Deposit 10000,0.0,CUSTOMER,withdraw,192.168.19.188
0,Check balance,0.0,ACCOUNTANT,billpay,192.168.37.55
0,Check balance,0.0,ACCOUNTANT,deposit,192.168.22.63
0,Withdraw 500,0.0,CUSTOMER,withdraw,192.168.6.26
0,Transfer 5000 to Rohan,0.0,CUSTOMER,withdraw,192.168.14.157
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,deposit,192.168.45.215
0,Check balance,0.0,ACCOUNTANT,deposit,192.168.31.174
0,Pay electricity bill 1200,0.0,ACCOUNTANT,withdraw,192.168.46.235
0,Withdraw 500,0.0,ACCOUNTANT,deposit,192.168.27.111
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,deposit,192.168.50.206
0,Transfer 5000 to Rohan,0.0,CUSTOMER,billpay,192.168.7.158
0,Transfer 5000 to Rohan,0.0,CUSTOMER,deposit,192.168.12.27
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.19.105
0,Transfer 5000 to Rohan,0.0,CUSTOMER,deposit,192.168.11.44
0,Deposit 10000,0.0,ACCOUNTANT,deposit,192.168.15.134
0,Pay electricity bill 1200,0.0,CUSTOMER,transfer,192.168.40.164
0,Check balance,0.0,ACCOUNTANT,withdraw,192.168.42.123
0,Withdraw 500,0.0,ACCOUNTANT,deposit,192.168.12.95
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,billpay,192.168.27.236
0,Deposit 10000,0.0,CUSTOMER,withdraw,192.168.44.201
0,Transfer 5000 to Rohan,0.0,CUSTOMER,transfer,192.168.22.225
0,Deposit 10000,0.0,ACCOUNTANT,deposit,192.168.20.137
0,Transfer 5000 to Rohan,0.0,CUSTOMER,billpay,192.168.20.79
0,Transfer 5000 to Rohan,0.0,CUSTOMER,withdraw,192.168.37.200
0,Pay electricity bill 1200,0.0,CUSTOMER,billpay,192.168.6.133
0,Check balance,0.0,CUSTOMER,billpay,192.168.43.95
0,Pay electricity bill 1200,0.0,ACCOUNTANT,withdraw,192.168.35.153
0,Deposit 10000,0.0,ACCOUNTANT,deposit,192.168.28.146
0,Deposit 10000,0.0,CUSTOMER,transfer,192.168.7.128
0,Pay electricity bill 1200,0.0,CUSTOMER,deposit,192.168.4.82
0,Transfer 5000 to Rohan,0.0,ACCOUNTANT,withdraw,192.168.42.65
0,Withdraw 500,0.0,CUSTOMER,withdraw,192.168.20.174
0,Withdraw 500,0.0,ACCOUNTANT,deposit,192.168.50.123
0,Check balance,0.0,CUSTOMER,withdraw,192.168.32.63
0,Transfer 5000 to Rohan,0.0,CUSTOMER,withdraw,192.168.3.157
0,Deposit 10000,0.0,CUSTOMER,billpay,192.168.49.104
0,Check balance,0.0,CUSTOMER,transfer,192.168.48.168
0,Check balance,0.0,CUSTOMER,withdraw,192.168.38.176
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.1.36
0,Check balance,0.0,ACCOUNTANT,withdraw,192.168.26.124
0,Withdraw 500,0.0,CUSTOMER,billpay,192.168.30.225
0,Deposit 10000,0.0,CUSTOMER,deposit,192.168.19.106
0,Deposit 10000,0.0,ACCOUNTANT,billpay,192.168.31.19
0,Withdraw 500,0.0,CUSTOMER,billpay,192.168.26.34
0,Withdraw 500,0.0,CUSTOMER,transfer,192.168.50.210
0,Pay electricity bill 1200,0.0,CUSTOMER,transfer,192.168.49.189
0,Transfer 5000 to Rohan,0.0,CUSTOMER,deposit,192.168.25.231
0,Withdraw 500,0.0,CUSTOMER,deposit,192.168.17.247
0,Check balance,0.0,ACCOUNTANT,deposit,192.168.19.215
0,Check balance,0.0,ACCOUNTANT,withdraw,192.168.21.206
