label,payload,severity,role,purpose,ip
0,Show me mutual funds for high risk,0.0,MANAGER,fund_recommendation,192.168.37.62
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,fund_recommendation,192.168.2.112
0,What is my credit score?,0.0,MANAGER,fund_recommendation,192.168.2.55
0,Show me mutual funds for high risk,0.0,MANAGER,rag_retrieval,192.168.15.207
0,Explain fixed deposit rates,0.0,CUSTOMER,rag_retrieval,192.168.34.204
0,Show me mutual funds for high risk,0.0,CUSTOMER,fund_recommendation,192.168.5.211
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,rag_retrieval,192.168.43.253
0,Show me mutual funds for high risk,0.0,MANAGER,rag_retrieval,192.168.43.187
0,What is my credit score?,0.0,MANAGER,fund_recommendation,192.168.46.49
0,Show me mutual funds for high risk,0.0,MANAGER,rag_retrieval,192.168.48.52
0,Show me mutual funds for high risk,0.0,CUSTOMER,chatbot_query,192.168.46.28
0,Show me mutual funds for high risk,0.0,CUSTOMER,fund_recommendation,192.168.49.89
0,Show me mutual funds for high risk,0.0,MANAGER,fund_recommendation,192.168.14.17
0,Explain fixed deposit rates,0.0,CUSTOMER,fund_recommendation,192.168.34.102
0,What is my credit score?,0.0,MANAGER,chatbot_query,192.168.31.210
0,Explain fixed deposit rates,0.0,CUSTOMER,fund_recommendation,192.168.24.93
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,chatbot_query,192.168.23.89
0,What is my credit score?,0.0,MANAGER,chatbot_query,192.168.47.63
0,Explain fixed deposit rates,0.0,MANAGER,chatbot_query,192.168.37.13
0,What is my credit score?,0.0,MANAGER,chatbot_query,192.168.23.46
0,What is the NIFTY 50 rate?,0.0,MANAGER,chatbot_query,192.168.26.229
0,Show me mutual funds for high risk,0.0,CUSTOMER,fund_recommendation,192.168.47.241
0,What is my credit score?,0.0,MANAGER,rag_retrieval,192.168.4.137
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,fund_recommendation,192.168.23.48
0,Explain fixed deposit rates,0.0,MANAGER,fund_recommendation,192.168.50.39
0,What is the NIFTY 50 rate?,0.0,MANAGER,rag_retrieval,192.168.30.47
0,What is my credit score?,0.0,CUSTOMER,rag_retrieval,192.168.23.78
0,Show me mutual funds for high risk,0.0,CUSTOMER,chatbot_query,192.168.42.246
0,What is the NIFTY 50 rate?,0.0,MANAGER,chatbot_query,192.168.38.103
0,What is my credit score?,0.0,MANAGER,rag_retrieval,192.168.11.117
0,Show me mutual funds for high risk,0.0,MANAGER,chatbot_query,192.168.26.210
0,Show me mutual funds for high risk,0.0,CUSTOMER,fund_recommendation,192.168.43.3
0,What is the NIFTY 50 rate?,0.0,MANAGER,rag_retrieval,192.168.37.122
0,What is my credit score?,0.0,MANAGER,chatbot_query,192.168.8.176
0,What is my credit score?,0.0,MANAGER,rag_retrieval,192.168.37.148
0,Explain fixed deposit rates,0.0,CUSTOMER,rag_retrieval,192.168.24.38
0,Show me mutual funds for high risk,0.0,MANAGER,rag_retrieval,192.168.2.171
0,What is the NIFTY 50 rate?,0.0,MANAGER,chatbot_query,192.168.41.94
0,Explain fixed deposit rates,0.0,MANAGER,rag_retrieval,192.168.7.118
0,Show me mutual funds for high risk,0.0,MANAGER,fund_recommendation,192.168.30.192
0,What is my credit score?,0.0,CUSTOMER,fund_recommendation,192.168.39.27
0,Explain fixed deposit rates,0.0,CUSTOMER,fund_recommendation,192.168.42.88
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,fund_recommendation,192.168.49.137
0,What is the NIFTY 50 rate?,0.0,MANAGER,rag_retrieval,192.168.50.92
0,What is my credit score?,0.0,MANAGER,rag_retrieval,192.168.25.73
0,What is the NIFTY 50 rate?,0.0,CUSTOMER,chatbot_query,192.168.50.43
0,What is my credit score?,0.0,MANAGER,rag_retrieval,192.168.17.197
0,Explain fixed deposit rates,0.0,CUSTOMER,fund_recommendation,192.168.34.221
0,What is my credit score?,0.0,CUSTOMER,fund_recommendation,192.168.39.224
0,Show me mutual funds for high risk,0.0,MANAGER,rag_retrieval,192.168.11.253
0,Show me mutual funds for high risk,0.0,CUSTOMER,rag_retrieval,192.168.9.233
